"impianto","comune_ubicazione","provincia_ubicazione","rifiuto_trattato"
"DAUNIAMBIENTE SPA","FOGGIA","FOGGIA","20 03 01 - rifiuti urbani non differenziati  "
"DAUNIAMBIENTE SPA","FOGGIA","FOGGIA","20 03 03 - residui della pulizia stradale"
"DAUNIAMBIENTE SPA","FOGGIA","FOGGIA","20 03 03 - residui della pulizia stradale   "
"DE CARLO OLI SNC DI DE CARLO TOMMASO & C.","SAN PIETRO IN LAMA","LECCE","20 01 25 - oli e grassi commestibili"
"DE CARLO OLI SNC DI DE CARLO TOMMASO & C.","SAN PIETRO IN LAMA","LECCE","20 01 25 - oli e grassi commestibili "
"DE CARLO OLI SNC DI DE CARLO TOMMASO & C.","SAN PIETRO IN LAMA","LECCE","20 01 32 - medicinali diversi da quelli di cui alla voce 20 01 31"
"DE CRISTOFARO S.R.L. ","LUCERA","FOGGIA","17 06 05 -  materiali da costruzione contenenti amianto "
"DELICETO","CANDELA","FOGGIA","00 00 00 - Altro - Non specificato "
"DELICETO","CANDELA","FOGGIA","20 01 08 - rifiuti biodegradabili di cucine e mense"
"DELICETO","CANDELA","FOGGIA","20 01 31 -  medicinali citotossici e citostatici"
"DELICETO","CANDELA","FOGGIA","20 02 01 - rifiuti biodegradabili "
"DELICETO","CANDELA","FOGGIA","20 03 01 - rifiuti urbani non differenziati "
"DELLA ROCCA S.R.L.","SAN GIOVANNI ROTONDO","BARI","02 01 99 - rifiuti non specificati altrimenti "
"DELLA ROCCA S.R.L.","SAN GIOVANNI ROTONDO","BARI","10 13 11 - rifiuti della produzione di materiali compositi a base di cemento, diversi da quelli di cui alle voci 10 13 09 e 10 13 "
"DELLA ROCCA S.R.L.","SAN GIOVANNI ROTONDO","BARI","17 01 01 - cemento "
"DELLA ROCCA S.R.L.","SAN GIOVANNI ROTONDO","BARI","17 01 02 - mattoni "
"DELLA ROCCA S.R.L.","SAN GIOVANNI ROTONDO","BARI","17 01 03 - mattonelle e ceramiche "
"DELLA ROCCA S.R.L.","SAN GIOVANNI ROTONDO","BARI","17 01 07 - miscugli o scorie di cemento, mattoni, mattonelle e ceramiche, diverse da quelle di cui alla voce 17 01 06"
"DELLA ROCCA S.R.L.","SAN GIOVANNI ROTONDO","BARI","17 05 04 - terra e rocce, diverse da quelle di cui alla voce 17 05 03"
"DELLA ROCCA S.R.L.","SAN GIOVANNI ROTONDO","BARI","17 08 02 - materiali da costruzione a base di gesso diversi da quelli di cui alla voce 17 08 01"
"DELLA ROCCA S.R.L.","SAN GIOVANNI ROTONDO","BARI","17 09 04 - rifiuti misti dell'attività di costruzione e demolizione, diversi da quelli di cui alle voci 17 09 01, 17 09 02 e 17 09 03"
"DELLA ROCCA S.R.L.","SAN GIOVANNI ROTONDO","BARI","20 03 01 - rifiuti urbani non differenziati"
"DEMOLIZIONI INDUSTRIALI S.R.L.","FRANCAVILLA FONTANA","BRINDISI","15 01 07 - imballaggi in vetro "
"DEMOLIZIONI INDUSTRIALI S.R.L.","FRANCAVILLA FONTANA","BRINDISI","17 04 05 - ferro e acciaio"
"DEMOLIZIONI INDUSTRIALI S.R.L.","FRANCAVILLA FONTANA","BRINDISI","20 01 02 - vetro "
"DEMOLIZIONI INDUSTRIALI S.R.L.","FRANCAVILLA FONTANA","BRINDISI","20 01 40 - metallo "
"DEMO RECUPERI TISTI S.R.L.","TRIGGIANO","BARI","00 00 10 - vetro/metallo
"
"DEMO RECUPERI TISTI S.R.L.","TRIGGIANO","BARI","15 01 02 - imballaggi in plastica "
"DEMO RECUPERI TISTI S.R.L.","TRIGGIANO","BARI","15 01 04 - imballaggi metallici "
"DEMO RECUPERI TISTI S.R.L.","TRIGGIANO","BARI","15 01 07 - imballaggi in vetro "
"DEMO RECUPERI TISTI S.R.L.","TRIGGIANO","BARI","17 00 00 - Rifiuti delle operazioni di costruzione e demolizione (compreso il terreno proveniente da siti contaminati)"
"DEMO RECUPERI TISTI S.R.L.","TRIGGIANO","BARI","17 02 02 - vetro"
"DEMO RECUPERI TISTI S.R.L.","TRIGGIANO","BARI","20 01 02 - vetro "
"DEMO RECUPERI TISTI S.R.L.","TRIGGIANO","BARI","20 01 11 - prodotti tessili "
"DEMO RECUPERI TISTI S.R.L.","TRIGGIANO","BARI","20 01 36 - apparecchiature elettriche ed elettroniche fuori uso, diverse da quelle di cui alle voci 20 01 21, 20 01 23 e 20 01 35 "
"DEMO RECUPERI TISTI S.R.L.","TRIGGIANO","BARI","20 01 40 - metallo "
"DEMO RECUPERI TISTI S.R.L.","TRIGGIANO","BARI","20 02 03 - altri rifiuti non biodegradabili "
"DEMO RECUPERI TISTI S.R.L.","TRIGGIANO","BARI","20 03 01 - rifiuti urbani non differenziati "
"DEMO RECUPERI TISTI S.R.L.","TRIGGIANO","BARI","20 03 01 - rifiuti urbani non differenziati  "
"DEMO RECUPERI TISTI S.R.L.","TRIGGIANO","BARI","20 03 03 - residui della pulizia stradale"
"DEMO RECUPERI TISTI S.R.L.","TRIGGIANO","BARI","20 03 07 - rifiuti ingombranti a recupero "
"DEMORECUPERI TISTI S.R.L.","BARI","BARI","15 01 01 - imballaggi in carta e cartone "
"DEMORECUPERI TISTI S.R.L.","BARI","BARI","17 04 05 - ferro e acciaio"
"DEMORECUPERI TISTI S.R.L.","BARI","BARI","17 04 05 - ferro e acciaio "
"DEMORECUPERI TISTI S.R.L.","BARI","BARI","17 05 05 -  fanghi di dragaggio, contenente sostanze pericolose "
"DEMORECUPERI TISTI S.R.L.","BARI","BARI","20 01 01 - carta e cartone "
"DEMORECUPERI TISTI S.R.L. - RECSEL S.R.L.","BARI","BARI","15 01 07 - imballaggi in vetro"
"DEMORECUPERI TISTI S.R.L. - RECSEL S.R.L.","BARI","BARI","15 01 07 - imballaggi in vetro "
"DENTICE PANTALEONE","TORREMAGGIORE","FOGGIA","20 01 10 - abbigliamento "
"DE SANTIS URBANO","TROIA","FOGGIA","15 01 04 - imballaggi metallici "
"DE SANTIS URBANO","TROIA","FOGGIA","16 02 14 - apparecchiature fuori uso, diverse da quelle di cui alle voci da 16 02 09 a 16 02 13"
"DE SANTIS URBANO","TROIA","FOGGIA","20 01 10 - abbigliamento "
"DE SANTIS URBANO","TROIA","FOGGIA","20 01 40 - metallo "
"DE SANTIS URBANO - RECUPERO MATERIE PLASTICHE E FERROSE","TROIA","FOGGIA","16 01 17 - metalli ferrosi"
"DE SANTIS URBANO - RECUPERO MATERIE PLASTICHE E FERROSE","TROIA","FOGGIA","17 04 05 - ferro e acciaio"
"DE SANTIS URBANO - RECUPERO MATERIE PLASTICHE E FERROSE","TROIA","FOGGIA","20 01 40 - metallo "
"DE SANTIS URBANO - RECUPERO MATERIE PLASTICHE E FERROSE","TROIA","FOGGIA","20 03 07 - rifiuti ingombranti a recupero "
"DEVICIENTI AMBIENTE S.R.L. ","MESAGNE","BRINDISI","02 06 01 - scarti inutilizzabili per il consumo o la trasformazione "
"DEVICIENTI AMBIENTE S.R.L. ","MESAGNE","BRINDISI","19 99 99 - Rifiuti prodotti da impianti di trattamento dei rifiuti, impianti di trattamento delle acque reflue"
"DI COSOLA METALLI S.R.L.","BARI","BARI","17 04 05 - ferro e acciaio"
"DI COSOLA METALLI S.R.L.","BARI","BARI","20 01 40 - metallo "
"DI MASO FRANCESCO","MOLFETTA","BARI","16 01 22 - componenti non specificati altrimenti"
"DI PAOLA S.R.L.","VICO DEL GARGANO","FOGGIA","17 05 08 - pietrisco per massicciate ferroviarie, diverso da quello di cui alla voce 17 05 07 "
"DI PAOLA S.R.L.","VICO DEL GARGANO","FOGGIA","17 09 04 - rifiuti misti dell'attività di costruzione e demolizione, diversi da quelli di cui alle voci 17 09 01, 17 09 02 e 17 09 03"
"DI PAOLA S.R.L.","VICO DEL GARGANO","FOGGIA","20 01 38 - legno, diverso da quello di cui alla voce 20 01 37 "
"DI RENZO SRL - PIATTAFORMA ECOLOGICA E SERVIZI","ALTAMURA","BARI","15 01 02 - imballaggi in plastica "
"DI RENZO SRL - PIATTAFORMA ECOLOGICA E SERVIZI","ALTAMURA","BARI","15 01 03 - imballaggi in legno "
"DI RENZO SRL - PIATTAFORMA ECOLOGICA E SERVIZI","ALTAMURA","BARI","15 01 06 - imballaggi in materiali misti "
"DI RENZO SRL - PIATTAFORMA ECOLOGICA E SERVIZI","ALTAMURA","BARI","17 09 04 - rifiuti misti dell'attività di costruzione e demolizione, diversi da quelli di cui alle voci 17 09 01, 17 09 02 e 17 09 03"
"DISCARICA AUTIGNO BRINDISI - EDEN 94 MANDURIA","BRINDISI","BRINDISI","20 01 08 - rifiuti biodegradabili di cucine e mense"
"DISCARICA AUTIGNO BRINDISI - NUBILE S.P.A.","BRINDISI","BRINDISI","20 01 08 - rifiuti biodegradabili di cucine e mense "
"DISCARICA BACINO DI UTENZA FG/3","FOGGIA","FOGGIA","19 05 99 - rifiuti non specificati altrimenti "
"DISCARICA BACINO DI UTENZA FG/3","FOGGIA","FOGGIA","20 03 01 - rifiuti urbani non differenziati "
"DISCARICA COMUNALE VIESTE","VIESTE","FOGGIA","20 03 01 - rifiuti urbani non differenziati "
"DISCARICA CONTROLLATA DI PROPRIETÀ COMUNE DI BRINDISI","BRINDISI","BRINDISI","00 00 00 - Altro - Non specificato"
"DISCARICA CONTROLLATA DI PROPRIETÀ COMUNE DI BRINDISI","BRINDISI","BRINDISI","00 00 00 - Altro - Non specificato "
"DISCARICA CONTROLLATA DI PROPRIETÀ COMUNE DI BRINDISI","BRINDISI","BRINDISI","02 03 01 - fanghi prodotti da operazioni di lavaggio, pulizia, sbucciatura, centrifugazione e separazione di componenti "
"DISCARICA CONTROLLATA DI PROPRIETÀ COMUNE DI BRINDISI","BRINDISI","BRINDISI","15 01 02 - imballaggi in plastica "
"DISCARICA CONTROLLATA DI PROPRIETÀ COMUNE DI BRINDISI","BRINDISI","BRINDISI","15 01 07 - imballaggi in vetro "
"DISCARICA CONTROLLATA DI PROPRIETÀ COMUNE DI BRINDISI","BRINDISI","BRINDISI","20 01 01 - carta e cartone "
"DISCARICA CONTROLLATA DI PROPRIETÀ COMUNE DI BRINDISI","BRINDISI","BRINDISI","20 01 08 - rifiuti biodegradabili di cucine e mense"
"DISCARICA CONTROLLATA DI PROPRIETÀ COMUNE DI BRINDISI","BRINDISI","BRINDISI","20 01 08 - rifiuti biodegradabili di cucine e mense "
"DISCARICA CONTROLLATA DI PROPRIETÀ COMUNE DI BRINDISI","BRINDISI","BRINDISI","20 01 23 -  apparecchiature fuori uso contenenti clorofluorocarburi "
"DISCARICA CONTROLLATA DI PROPRIETÀ COMUNE DI BRINDISI","BRINDISI","BRINDISI","20 01 32 - medicinali diversi da quelli di cui alla voce 20 01 31"
"DISCARICA CONTROLLATA DI PROPRIETÀ COMUNE DI BRINDISI","BRINDISI","BRINDISI","20 01 34 - batterie e accumulatori diversi da quelli di cui alla voce 20 01 33"
"DISCARICA CONTROLLATA DI PROPRIETÀ COMUNE DI BRINDISI","BRINDISI","BRINDISI","20 02 01 - rifiuti biodegradabili"
"DISCARICA CONTROLLATA DI PROPRIETÀ COMUNE DI BRINDISI","BRINDISI","BRINDISI","20 02 01 - rifiuti biodegradabili "
"DISCARICA CONTROLLATA DI PROPRIETÀ COMUNE DI BRINDISI","BRINDISI","BRINDISI","20 02 03 - altri rifiuti non biodegradabili "
"DISCARICA CONTROLLATA DI PROPRIETÀ COMUNE DI BRINDISI","BRINDISI","BRINDISI","20 03 01 - rifiuti urbani non differenziati "
"DISCARICA CONTROLLATA DI PROPRIETÀ COMUNE DI BRINDISI","BRINDISI","BRINDISI","20 03 01 - rifiuti urbani non differenziati  "
"DISCARICA CONTROLLATA DI PROPRIETÀ COMUNE DI BRINDISI","BRINDISI","BRINDISI","20 03 03 - residui della pulizia stradale"
"DISCARICA CONTROLLATA DI PROPRIETÀ COMUNE DI BRINDISI","BRINDISI","BRINDISI","20 03 03 - residui della pulizia stradale   "
"DISCARICA CONTROLLATA DI PROPRIETÀ COMUNE DI BRINDISI","BRINDISI","BRINDISI","20 03 07 - rifiuti ingombranti a recupero "
"DISCARICA CONTROLLATA I^ CTG. R.S.U.","VIESTE","FOGGIA","15 01 02 - imballaggi in plastica "
"DISCARICA CONTROLLATA I^ CTG. R.S.U.","VIESTE","FOGGIA","15 01 07 - imballaggi in vetro "
"DISCARICA CONTROLLATA I^ CTG. R.S.U.","VIESTE","FOGGIA","20 03 01 - rifiuti urbani non differenziati "
"DISCARICA CONTROLLATA I^ CTG. R.S.U.","VIESTE","FOGGIA","20 03 03 - residui della pulizia stradale"
"DISCARICA CONTROLLATA I^ CTG. R.S.U.","VIESTE","FOGGIA","20 03 07 - rifiuti ingombranti a recupero "
"DO.RI. METALLI S.A.S. DI SCIACOVELLI D.S. & C.","CASSANO DELLE MURGE","BARI","16 01 17 - metalli ferrosi"
"DO.RI. METALLI S.A.S. DI SCIACOVELLI D.S. & C.","CASSANO DELLE MURGE","BARI","20 01 40 - metallo"
"DO.RI. METALLI S.A.S. DI SCIACOVELLI D.S. & C.","CASSANO DELLE MURGE","BARI","20 01 40 - metallo "
"D.S.A. S.R.L. ","FOGGIA","FOGGIA","17 04 02 - alluminio "
"D.S.A. S.R.L. ","FOGGIA","FOGGIA","17 04 05 - ferro e acciaio"
"D.S.A. S.R.L. ","FOGGIA","FOGGIA","20 01 40 - metallo "
"ECOALBA SOC. COOP. A R.L.","LUCERA","FOGGIA","02 01 04 - rifiuti plastici (ad esclusione degli imballaggi)"
"ECOALBA SOC. COOP. A R.L.","LUCERA","FOGGIA","02 01 04 - rifiuti plastici (ad esclusione degli imballaggi) "
"ECOALBA SOC. COOP. A R.L.","LUCERA","FOGGIA","07 04 04 -  altri solventi organici, soluzioni di lavaggio ed acque madri "
"ECOALBA SOC. COOP. A R.L.","LUCERA","FOGGIA","09 01 02 -  soluzioni di sviluppo per lastre offset a base acquosa "
"ECOALBA SOC. COOP. A R.L.","LUCERA","FOGGIA","10 02 10 - scaglie di laminazione "
"ECOALBA SOC. COOP. A R.L.","LUCERA","FOGGIA","10 02 99 - rifiuti non specificati altrimenti "
"ECOALBA SOC. COOP. A R.L.","LUCERA","FOGGIA","10 08 99 - rifiuti non specificati altrimenti "
"ECOALBA SOC. COOP. A R.L.","LUCERA","FOGGIA","10 11 12 - rifiuti di vetro diversi da quelli di cui alla voce 10 11 11 "
"ECOALBA SOC. COOP. A R.L.","LUCERA","FOGGIA","11 05 01 - zinco solido "
"ECOALBA SOC. COOP. A R.L.","LUCERA","FOGGIA","11 05 99 - rifiuti non specificati altrimenti "
"ECOALBA SOC. COOP. A R.L.","LUCERA","FOGGIA","12 01 01 - limatura e trucioli di materiali ferrosi "
"ECOALBA SOC. COOP. A R.L.","LUCERA","FOGGIA","12 01 02 - polveri e particolato di materiali ferrosi "
"ECOALBA SOC. COOP. A R.L.","LUCERA","FOGGIA","12 01 03 - limatura e trucioli di materiali non ferrosi "
"ECOALBA SOC. COOP. A R.L.","LUCERA","FOGGIA","12 01 04 - polveri e particolato di materiali non ferrosi "
"ECOALBA SOC. COOP. A R.L.","LUCERA","FOGGIA","12 01 99 - rifiuti non specificati altrimenti"
"ECOALBA SOC. COOP. A R.L.","LUCERA","FOGGIA","12 01 99 - rifiuti non specificati altrimenti "
"ECOALBA SOC. COOP. A R.L.","LUCERA","FOGGIA","15 01 01 - imballaggi in carta e cartone"
"ECOALBA SOC. COOP. A R.L.","LUCERA","FOGGIA","15 01 01 - imballaggi in carta e cartone "
"ECOALBA SOC. COOP. A R.L.","LUCERA","FOGGIA","15 01 02 - imballaggi in plastica"
"ECOALBA SOC. COOP. A R.L.","LUCERA","FOGGIA","15 01 02 - imballaggi in plastica "
"ECOALBA SOC. COOP. A R.L.","LUCERA","FOGGIA","15 01 04 - imballaggi metallici"
"ECOALBA SOC. COOP. A R.L.","LUCERA","FOGGIA","15 01 04 - imballaggi metallici "
"ECOALBA SOC. COOP. A R.L.","LUCERA","FOGGIA","15 01 05 - imballaggi in materiali compositi"
"ECOALBA SOC. COOP. A R.L.","LUCERA","FOGGIA","15 01 05 - imballaggi in materiali compositi "
"ECOALBA SOC. COOP. A R.L.","LUCERA","FOGGIA","15 01 06 - imballaggi in materiali misti"
"ECOALBA SOC. COOP. A R.L.","LUCERA","FOGGIA","15 01 06 - imballaggi in materiali misti "
"ECOALBA SOC. COOP. A R.L.","LUCERA","FOGGIA","15 01 07 - imballaggi in vetro"
"ECOALBA SOC. COOP. A R.L.","LUCERA","FOGGIA","15 01 07 - imballaggi in vetro "
"ECOALBA SOC. COOP. A R.L.","LUCERA","FOGGIA","16 01 03 - pneumatici fuori uso"
"ECOALBA SOC. COOP. A R.L.","LUCERA","FOGGIA","16 01 03 - pneumatici fuori uso "
"ECOALBA SOC. COOP. A R.L.","LUCERA","FOGGIA","16 01 17 - metalli ferrosi"
"ECOALBA SOC. COOP. A R.L.","LUCERA","FOGGIA","16 01 17 - metalli ferrosi "
"ECOALBA SOC. COOP. A R.L.","LUCERA","FOGGIA","16 01 20 - vetro "
"ECOALBA SOC. COOP. A R.L.","LUCERA","FOGGIA","16 02 14 - apparecchiature fuori uso, diverse da quelle di cui alle voci da 16 02 09 a 16 02 13"
"ECOALBA SOC. COOP. A R.L.","LUCERA","FOGGIA","16 02 14 - apparecchiature fuori uso, diverse da quelle di cui alle voci da 16 02 09 a 16 02 13 "
"ECOALBA SOC. COOP. A R.L.","LUCERA","FOGGIA","16 02 16 - componenti rimossi da apparecchiature fuori uso, diversi da quelli di cui alla voce 16 02 15"
"ECOALBA SOC. COOP. A R.L.","LUCERA","FOGGIA","16 02 16 - componenti rimossi da apparecchiature fuori uso, diversi da quelli di cui alla voce 16 02 15 "
"ECOALBA SOC. COOP. A R.L.","LUCERA","FOGGIA","17 02 02 - vetro"
"ECOALBA SOC. COOP. A R.L.","LUCERA","FOGGIA","17 02 02 - vetro "
"ECOALBA SOC. COOP. A R.L.","LUCERA","FOGGIA","17 02 03 - plastica"
"ECOALBA SOC. COOP. A R.L.","LUCERA","FOGGIA","17 02 03 - plastica "
"ECOALBA SOC. COOP. A R.L.","LUCERA","FOGGIA","17 04 01 - rame, bronzo, ottone "
"ECOALBA SOC. COOP. A R.L.","LUCERA","FOGGIA","17 04 02 - alluminio"
"ECOALBA SOC. COOP. A R.L.","LUCERA","FOGGIA","17 04 02 - alluminio "
"ECOALBA SOC. COOP. A R.L.","LUCERA","FOGGIA","17 04 03 - piombo "
"ECOALBA SOC. COOP. A R.L.","LUCERA","FOGGIA","17 04 05 - ferro e acciaio"
"ECOALBA SOC. COOP. A R.L.","LUCERA","FOGGIA","17 04 05 - ferro e acciaio "
"ECOALBA SOC. COOP. A R.L.","LUCERA","FOGGIA","17 04 06 - stagno "
"ECOALBA SOC. COOP. A R.L.","LUCERA","FOGGIA","17 04 07 - metalli misti"
"ECOALBA SOC. COOP. A R.L.","LUCERA","FOGGIA","17 04 07 - metalli misti "
"ECOALBA SOC. COOP. A R.L.","LUCERA","FOGGIA","19 01 18 - rifiuti della pirolisi, diversi da quelli di cui alla voce 19 01 17 "
"ECOALBA SOC. COOP. A R.L.","LUCERA","FOGGIA","19 10 02 - rifiuti di metalli non ferrosi "
"ECOALBA SOC. COOP. A R.L.","LUCERA","FOGGIA","19 12 02 - metalli ferrosi"
"ECOALBA SOC. COOP. A R.L.","LUCERA","FOGGIA","19 12 02 - metalli ferrosi "
"ECOALBA SOC. COOP. A R.L.","LUCERA","FOGGIA","19 12 03 - metalli non ferrosi "
"ECOALBA SOC. COOP. A R.L.","LUCERA","FOGGIA","19 12 04 - plastica e gomma"
"ECOALBA SOC. COOP. A R.L.","LUCERA","FOGGIA","19 12 05 - vetro"
"ECOALBA SOC. COOP. A R.L.","LUCERA","FOGGIA","19 12 05 - vetro "
"ECOALBA SOC. COOP. A R.L.","LUCERA","FOGGIA","20 01 01 - carta e cartone"
"ECOALBA SOC. COOP. A R.L.","LUCERA","FOGGIA","20 01 01 - carta e cartone "
"ECOALBA SOC. COOP. A R.L.","LUCERA","FOGGIA","20 01 02 - vetro"
"ECOALBA SOC. COOP. A R.L.","LUCERA","FOGGIA","20 01 02 - vetro "
"ECOALBA SOC. COOP. A R.L.","LUCERA","FOGGIA","20 01 08 - rifiuti biodegradabili di cucine e mense"
"ECOALBA SOC. COOP. A R.L.","LUCERA","FOGGIA","20 01 08 - rifiuti biodegradabili di cucine e mense "
"ECOALBA SOC. COOP. A R.L.","LUCERA","FOGGIA","20 01 08 - rifiuti biodegradabili di cucine e mense  "
"ECOALBA SOC. COOP. A R.L.","LUCERA","FOGGIA","20 01 11 - prodotti tessili "
"ECOALBA SOC. COOP. A R.L.","LUCERA","FOGGIA","20 01 36 - apparecchiature elettriche ed elettroniche fuori uso, diverse da quelle di cui alle voci 20 01 21, 20 01 23 e 20 01 35"
"ECOALBA SOC. COOP. A R.L.","LUCERA","FOGGIA","20 01 36 - apparecchiature elettriche ed elettroniche fuori uso, diverse da quelle di cui alle voci 20 01 21, 20 01 23 e 20 01 35 "
"ECOALBA SOC. COOP. A R.L.","LUCERA","FOGGIA","20 01 38 - legno, diverso da quello di cui alla voce 20 01 37 "
"ECOALBA SOC. COOP. A R.L.","LUCERA","FOGGIA","20 01 39 - plastica"
"ECOALBA SOC. COOP. A R.L.","LUCERA","FOGGIA","20 01 39 - plastica "
"ECOALBA SOC. COOP. A R.L.","LUCERA","FOGGIA","20 01 40 - metallo"
"ECOALBA SOC. COOP. A R.L.","LUCERA","FOGGIA","20 01 40 - metallo "
"ECOALBA SOC. COOP. A R.L.","LUCERA","FOGGIA","20 03 01 - rifiuti urbani non differenziati "
"ECOALBA SOC. COOP. A R.L.","LUCERA","FOGGIA","20 03 03 - residui della pulizia stradale"
"ECOALBA SOC. COOP. A R.L.","LUCERA","FOGGIA","20 03 07 - rifiuti ingombranti a recupero "
"ECOAMBIENTE S.N.C. DEI F.LLI LANOTTE DI LANOTTE MARIO & C.","BARLETTA","BARLETTA ANDRIA TRANI","20 01 32 - medicinali diversi da quelli di cui alla voce 20 01 31"
"ECOAMBIENTE S.N.C. DEI F.LLI LANOTTE DI LANOTTE MARIO & C.","BARLETTA","BARLETTA ANDRIA TRANI","20 01 32 - medicinali diversi da quelli di cui alla voce 20 01 31 "
"ECOAMBIENTE S.N.C. DEI F.LLI LANOTTE DI LANOTTE MARIO & C.","BARLETTA","BARLETTA ANDRIA TRANI","20 01 38 - legno, diverso da quello di cui alla voce 20 01 37 "
"ECOAMBIENTE S.N.C. DEI F.LLI LANOTTE DI LANOTTE MARIO & C.","BARLETTA","BARLETTA ANDRIA TRANI","20 01 39 - plastica "
"ECOAMBIENTE SRL ","BITONTO","BARI","20 01 38 - legno, diverso da quello di cui alla voce 20 01 37 "
"ECOAMBIENTE SRL ","BITONTO","BARI","20 03 01 - rifiuti urbani non differenziati "
"ECOAMBIENTE SRL ","BITONTO","BARI","20 03 07 - rifiuti ingombranti a recupero "
"ECO AMBIENTE SUD S.R.L.","FASANO","BRINDISI","00 00 00 - Altro - Non specificato"
"ECO AMBIENTE SUD S.R.L.","FASANO","BRINDISI","00 00 00 - Altro - Non specificato "
"ECO AMBIENTE SUD S.R.L.","FASANO","BRINDISI","00 00 01 -  vetro/plastica/metallo
"
"ECO AMBIENTE SUD S.R.L.","FASANO","BRINDISI","00 00 10 - vetro/metallo
"
"ECO AMBIENTE SUD S.R.L.","FASANO","BRINDISI","00 00 26 - rifiuto multimateriale 150106 - 160117 - 170603 - 170601 - 160214"
"ECO AMBIENTE SUD S.R.L.","FASANO","BRINDISI","02 06 01 - scarti inutilizzabili per il consumo o la trasformazione "
"ECO AMBIENTE SUD S.R.L.","FASANO","BRINDISI","04 02 20 - fanghi prodotti dal trattamento in loco degli effluenti, diversi da quelli di cui alla voce 04 02 19 "
"ECO AMBIENTE SUD S.R.L.","FASANO","BRINDISI","04 02 22 - rifiuti da fibre tessili lavorate"
"ECO AMBIENTE SUD S.R.L.","FASANO","BRINDISI","04 02 22 - rifiuti da fibre tessili lavorate "
"ECO AMBIENTE SUD S.R.L.","FASANO","BRINDISI","08 03 17 -  toner per stampa esauriti, contenenti sostanze pericolose "
"ECO AMBIENTE SUD S.R.L.","FASANO","BRINDISI","08 03 18 - toner per stampa esauriti, diversi da quelli di cui alla voce 08 03 17"
"ECO AMBIENTE SUD S.R.L.","FASANO","BRINDISI","08 03 18 - toner per stampa esauriti, diversi da quelli di cui alla voce 08 03 17 "
"ECO AMBIENTE SUD S.R.L.","FASANO","BRINDISI","10 06 01 - scorie della produzione primaria e secondaria "
"ECO AMBIENTE SUD S.R.L.","FASANO","BRINDISI","13 02 04 -  scarti di olio minerale per motori, ingranaggi e lubrificazione, clorurati"
"ECO AMBIENTE SUD S.R.L.","FASANO","BRINDISI","13 02 08 -  altri oli per motori, ingranaggi e lubrificazione"
"ECO AMBIENTE SUD S.R.L.","FASANO","BRINDISI","15 01 01 - imballaggi in carta e cartone"
"ECO AMBIENTE SUD S.R.L.","FASANO","BRINDISI","15 01 01 - imballaggi in carta e cartone "
"ECO AMBIENTE SUD S.R.L.","FASANO","BRINDISI","15 01 02 - imballaggi in plastica "
"ECO AMBIENTE SUD S.R.L.","FASANO","BRINDISI","15 01 03 - imballaggi in legno "
"ECO AMBIENTE SUD S.R.L.","FASANO","BRINDISI","15 01 04 - imballaggi metallici "
"ECO AMBIENTE SUD S.R.L.","FASANO","BRINDISI","15 01 06 - imballaggi in materiali misti "
"ECO AMBIENTE SUD S.R.L.","FASANO","BRINDISI","15 01 07 - imballaggi in vetro "
"ECO AMBIENTE SUD S.R.L.","FASANO","BRINDISI","15 01 10 -  imballaggi contenenti residui di sostanze pericolose o contaminati da tali sostanze"
"ECO AMBIENTE SUD S.R.L.","FASANO","BRINDISI","15 01 10 -  imballaggi contenenti residui di sostanze pericolose o contaminati da tali sostanze "
"ECO AMBIENTE SUD S.R.L.","FASANO","BRINDISI","15 01 11 -  imballaggi metallici contenenti matrici solide porose pericolose (ad esempio amianto), compresi i contenitori a pressione vuoti"
"ECO AMBIENTE SUD S.R.L.","FASANO","BRINDISI","15 01 11 -  imballaggi metallici contenenti matrici solide porose pericolose (ad esempio amianto), compresi i contenitori a pressione vuoti "
"ECO AMBIENTE SUD S.R.L.","FASANO","BRINDISI","16 01 03 - pneumatici fuori uso"
"ECO AMBIENTE SUD S.R.L.","FASANO","BRINDISI","16 01 03 - pneumatici fuori uso "
"ECO AMBIENTE SUD S.R.L.","FASANO","BRINDISI","16 01 06 - veicoli fuori uso, non contenenti liquidi né altre componenti pericolose "
"ECO AMBIENTE SUD S.R.L.","FASANO","BRINDISI","16 01 11 -  pastiglie per freni, contenenti amianto "
"ECO AMBIENTE SUD S.R.L.","FASANO","BRINDISI","16 01 17 - metalli ferrosi"
"ECO AMBIENTE SUD S.R.L.","FASANO","BRINDISI","16 01 19 - plastica"
"ECO AMBIENTE SUD S.R.L.","FASANO","BRINDISI","16 01 20 - vetro "
"ECO AMBIENTE SUD S.R.L.","FASANO","BRINDISI","16 02 11 -  apparecchiature fuori uso, contenenti clorofluorocarburi, HCFC, HFC "
"ECO AMBIENTE SUD S.R.L.","FASANO","BRINDISI","16 02 13 -  apparecchiature fuori uso, contenenti componenti pericolosi diversi da quelli di cui alle voci 16 02 09 e 16 02 12 "
"ECO AMBIENTE SUD S.R.L.","FASANO","BRINDISI","16 02 14 - apparecchiature fuori uso, diverse da quelle di cui alle voci da 16 02 09 a 16 02 13"
"ECO AMBIENTE SUD S.R.L.","FASANO","BRINDISI","16 02 16 - componenti rimossi da apparecchiature fuori uso, diversi da quelli di cui alla voce 16 02 15"
